gamma0,UMV,LRP,PDDi,WeertC,model,slc
14477.33676,5.35E+20,0.0002826217843,0.01535205323,32866.24449,control,-2.344434234
86984.00071,2.87E+20,0.0001133463927,0.01305516504,49360.17023,control,-9.256699237
14477.33676,1.58E+20,0.0002285006647,0.01632810275,19890.54995,control,6.36045803
471264.2917,9.82E+20,0.0007923374684,0.01804688302,24079.44781,control,-0.01066576321
159188.5414,7.76E+20,0.0004132965482,0.01026540195,15109.80655,control,9.160427408
9618.882299,6.31E+20,0.0006462609913,0.01847389073,55750.5758,control,-8.443675403
21005.34364,6.82E+20,0.0004289373934,0.009097312499,10943.67586,control,15.99897609
21005.34364,2.18E+20,6.29E-05,0.008067638557,17692.15325,control,8.698554737
9618.882299,8.53E+20,0.0004249105464,0.0177045102,41990.91704,control,-5.558576724
159188.5414,4.09E+19,3.10E-05,0.01468020794,16158.91126,control,8.270494864
14477.33676,4.36E+20,0.0006870064005,0.00958114378,30171.4265,control,-0.7711262226
21005.34364,5.26E+20,0.0003886476555,0.01384043955,40961.02118,control,-5.389653633
471264.2917,2.46E+20,0.0001893400077,0.008611429983,15679.42365,control,8.933235376
14477.33676,4.76E+20,6.95E-05,0.012649273,51734.4428,control,-10.1478775
471264.2917,5.85E+20,0.0001342551613,0.01321446828,11272.8223,control,16.13217999
21005.34364,3.67E+20,0.000308549346,0.01476816582,62063.01908,control,-11.34162966
86984.00071,4.07E+20,0.0004486472752,0.01450857015,54709.12933,control,-9.319957034
159188.5414,4.18E+20,0.0001528398519,0.01794202006,32596.24075,control,-5.524903525
14477.33676,8.28E+20,0.0005698201617,0.0164013564,54064.08632,control,-8.396290804
159188.5414,8.47E+19,0.0006533388944,0.01912196802,20183.7395,control,2.859343988
471264.2917,1.19E+20,0.0005780874074,0.0187163363,8865.986184,control,19.9158655
471264.2917,4.56E+20,0.0002188987174,0.01376324833,23209.67596,control,0.7920229625
9618.882299,7.85E+20,0.0006101973572,0.01244025433,60463.91734,control,-9.391457763
21005.34364,3.29E+20,0.0003204676932,0.008783972187,18201.52538,control,7.639004319
21005.34364,3.64E+20,0.0007573952484,0.009333490328,56131.4856,control,-8.270290117
159188.5414,4.66E+20,0.000248595445,0.01129330542,46410.30377,control,-11.45488693
471264.2917,6.92E+20,0.0006962337803,0.01594320872,21026.81958,control,2.334924661
21005.34364,7.16E+20,0.0002641281727,0.01251497986,47541.59748,control,-8.151509601
21005.34364,2.41E+20,0.0006821820438,0.01736334533,37736.98865,control,-3.608937005
14477.33676,3.57E+20,0.0004563822149,0.01112721582,30988.25326,control,-1.321777151
9618.882299,8.10E+20,0.0007679351576,0.009163859433,50558.18729,control,-7.25830675
86984.00071,3.13E+19,0.0003620181524,0.01568343003,43208.1282,control,-6.327517645
86984.00071,3.41E+20,0.0005537629911,0.01131432151,35340.21212,control,-3.158747127
14477.33676,5.46E+20,0.0004161466528,0.01108057069,36771.85311,control,-3.588635033
21005.34364,8.98E+20,0.0001413757841,0.01828968341,17603.86819,control,8.545892283
86984.00071,5.69E+20,0.0006382550066,0.01213862672,48839.36268,control,-7.439789559
471264.2917,2.15E+20,0.000667047357,0.01608432364,12164.39133,control,12.7145299
21005.34364,9.57E+20,0.0005969459535,0.01223884871,28079.55828,control,0.2263332753
9618.882299,9.25E+20,3.88E-05,0.009878740608,22846.37812,control,3.678538844
21005.34364,3.12E+20,0.000743134399,0.01203127336,51296.82688,control,-7.500983854
9618.882299,4.37E+19,9.52E-05,0.01690197907,59499.83164,control,-11.31581572
